Molecule,SinglePointEnergy[a.u.],nAtoms,DipoleMoment[Debye],MolecularWeight[g/mol],HOMO-1[kcal/mol],HOMO[kcal/mol],LUMO[kcal/mol],LUMO+1[kcal/mol],CoreStructure,N-1_subst,C-2_subst,N-3_subst,C-4_subst,C-5_subst,N-1_Avalue[kcal/mol],C-2_Avalue[kcal/mol],N-3_Avalue[kcal/mol],C-4_Avalue[kcal/mol],C-5_Avalue[kcal/mol],LUMO_N-1[%],LUMO_C-2[%],LUMO_N-3[%]
mol_14257,-1043.379840847634,59,6.42349,349.53222000000045,-155.05621888200002,-154.69351867999998,-32.227607222,-11.961576557999999,III_benzimid,Hydro,DMBz,Hydro,t-Butyl,t-Butyl,0,2.127721562,0,4.972259776,4.972259776,0.079793,0.349177,0.077498,
mol_14258,-1200.593008386233,71,9.35026,405.63854000000055,-154.531621358,-152.84236713,-32.603485113000005,-11.893805586,III_benzimid,Hydro,DMBz,Hydro,DMB,DMB,0,2.127721562,0,1.753807476,1.753807476,0.071333,0.329222,0.072376,
mol_14260,-1269.574885810946,61,11.75768,417.5646600000003,-153.362572091,-149.27811601,-36.497178458,-19.825519346,III_benzimid,Hydro,DMBz,Hydro,tolu,tolu,0,2.127721562,0,3.798133026,3.798133026,0.059396,0.292961,0.058276,
mol_14266,-1426.758956788669,73,10.00645,473.6709800000004,-150.819278114,-150.52811393800002,-31.704892225000002,-12.116571281,III_benzimid,Hydro,DMBz,Hydro,DMBz,DMBz,0,2.127721562,0,2.127721562,2.127721562,0.075848,0.336054,0.074336,
mol_14269,-1877.955840557799,79,12.38244,569.6673799999983,-134.880549514,-131.008191475,-33.436189556,-12.17994969,III_benzimid,Hydro,DMBz,Hydro,TMOB,TMOB,0,2.127721562,0,6.045928531,6.045928531,0.073046,0.331451,0.072593,
mol_14272,-964.815670977040,53,4.16268,321.4790600000004,-154.315758262,-152.935238462,-33.388498872,-10.865945844,III_benzimid,Methyl,DMBz,Methyl,Ethyl,Ethyl,1.803016771,2.127721562,1.803016771,1.711067804,1.711067804,0.069357,0.322389,0.069209,
mol_14275,-1121.996622584188,65,6.34081,377.5853800000005,-154.00890636100002,-151.727283637,-33.354613386000004,-10.602392064000002,III_benzimid,Methyl,DMBz,Methyl,Isobutyl,Isobutyl,1.803016771,2.127721562,1.803016771,3.276026296,3.276026296,0.072,0.321588,0.067682,
mol_14276,-1121.986771398942,65,6.15545,377.58538000000055,-154.263675015,-152.784008793,-33.089804588,-10.973877392,III_benzimid,Methyl,DMBz,Methyl,Sec-Butyl,Sec-Butyl,1.803016771,2.127721562,1.803016771,2.129855094,2.129855094,0.069882,0.328555,0.073335,
mol_14284,-1426.730914055935,73,11.80339,473.67098000000044,-154.365331473,-149.841619092,-37.042483779,-18.393543808,III_benzimid,Methyl,DMBz,Methyl,EP,EP,1.803016771,2.127721562,1.803016771,3.874770761,3.874770761,0.057068,0.29415,0.060829,
mol_14285,-1348.141530516363,67,9.62266,445.61782000000034,-152.94276857,-152.576930823,-35.823861301,-12.215717703000001,III_benzimid,Methyl,DMBz,Methyl,Bz,Bz,1.803016771,2.127721562,1.803016771,1.541420611,1.541420611,0.062437,0.306465,0.062087,
mol_14287,-1583.920898900286,85,13.68923,529.7772999999995,-146.332588764,-143.84388807,-32.658078396,-10.437984706,III_benzimid,Methyl,DMBz,Methyl,TMBz,TMBz,1.803016771,2.127721562,1.803016771,2.232277195,2.232277195,0.069104,0.325671,0.073046,
mol_14290,-886.228563809106,47,4.51909,293.42590000000035,-156.41101081300002,-154.347761221,-35.348209479,-11.568128415,III_benzimid,Ethyl,DMBz,Ethyl,Hydro,Hydro,1.711067804,2.127721562,1.711067804,0,0,0.067829,0.318632,0.067417,
mol_14296,-1200.581383747488,71,5.33031,405.6385400000006,-154.137545706,-152.935865971,-33.056546611,-11.078043886,III_benzimid,Ethyl,DMBz,Ethyl,Sec-Butyl,Sec-Butyl,1.711067804,2.127721562,1.711067804,2.129855094,2.129855094,0.070792,0.322782,0.069193,
mol_14299,-1348.147900159812,67,8.94950,445.61782000000034,-154.58119456900002,-146.31752854799998,-37.371298495,-25.090947365,III_benzimid,Ethyl,DMBz,Ethyl,phen,phen,1.711067804,2.127721562,1.711067804,3.620874142,3.620874142,0.055024,0.284851,0.054902,
mol_14300,-1426.740017660649,73,10.45785,473.6709800000004,-152.348517547,-148.523850192,-37.146022764,-20.702149419,III_benzimid,Ethyl,DMBz,Ethyl,tolu,tolu,1.711067804,2.127721562,1.711067804,3.798133026,3.798133026,0.062039,0.290082,0.054719,
mol_14301,-1505.326640312396,79,11.63785,501.72414000000043,-150.001006378,-148.20758565600002,-36.99793064,-18.163248005,III_benzimid,Ethyl,DMBz,Ethyl,DMP,DMP,1.711067804,2.127721562,1.711067804,8.431506296,8.431506296,0.059913,0.29317,0.058405,
mol_14303,-1583.923070246590,85,12.57451,529.7772999999995,-147.63466993900002,-144.938891275,-36.384226838000004,-16.896934843,III_benzimid,Ethyl,DMBz,Ethyl,TMP,TMP,1.711067804,2.127721562,1.711067804,7.628118434,7.628118434,0.061988,0.301767,0.061748,
mol_14304,-1505.327074861260,79,10.95022,501.7241400000005,-153.144198959,-151.574171441,-36.715551590000004,-15.43044631,III_benzimid,Ethyl,DMBz,Ethyl,EP,EP,1.711067804,2.127721562,1.711067804,3.874770761,3.874770761,0.056722,0.28832,0.056806,
mol_14310,-964.818644324271,53,4.01097,321.4790600000004,-156.53839514,-154.44251508000002,-34.868165094,-11.775206385,III_benzimid,Propyl,DMBz,Propyl,Hydro,Hydro,1.649728751,2.127721562,1.649728751,0,0,0.065762,0.31353,0.064136,
mol_14313,-1200.589425094528,71,3.61988,405.6385400000006,-154.09801263900002,-152.443271406,-33.287469922999996,-10.872848442999999,III_benzimid,Propyl,DMBz,Propyl,Propyl,Propyl,1.649728751,2.127721562,1.649728751,1.649728751,1.649728751,0.070943,0.319526,0.070646,
mol_14314,-1279.178354554395,77,5.20492,433.69170000000065,-154.081069896,-152.056725862,-33.466937496999996,-11.606406463999999,III_benzimid,Propyl,DMBz,Propyl,Butyl,Butyl,1.649728751,2.127721562,1.649728751,1.602489835,1.602489835,0.069146,0.318897,0.067157,
mol_14315,-1279.175334475009,77,4.32820,433.6917000000006,-153.790533229,-152.33094729500002,-33.411089196,-11.349127774000001,III_benzimid,Propyl,DMBz,Propyl,Isobutyl,Isobutyl,1.649728751,2.127721562,1.649728751,3.276026296,3.276026296,0.071664,0.323803,0.068916,
mol_14319,-1426.738192963913,73,8.65520,473.6709800000004,-154.211591768,-146.66767857,-37.649284982000005,-24.64227843,III_benzimid,Propyl,DMBz,Propyl,phen,phen,1.649728751,2.127721562,1.649728751,3.620874142,3.620874142,0.05655,0.291894,0.061377,
mol_1432,-1120.736611311232,63,1.65616,375.56950000000046,-168.292266219,-156.357045039,-24.279578228,-22.600991653,I_imid,phen,Propyl,phen,t-Butyl,t-Butyl,3.620874142,1.649728751,3.620874142,4.972259776,4.972259776,0.009195,0.027283,0.019472,
mol_14322,-1741.087699656255,97,12.37196,585.8836199999977,-149.34023940100002,-148.58785611,-36.529808926,-14.432707,III_benzimid,Propyl,DMBz,Propyl,DEP,DEP,1.649728751,2.127721562,1.649728751,10.28464853,10.28464853,0.060297,0.297611,0.061071,
mol_1433,-1277.946773619123,75,4.35869,431.67582000000056,-169.591837358,-154.891184015,-24.927167516,-21.325893365000002,I_imid,phen,Propyl,phen,DMB,DMB,3.620874142,1.649728751,3.620874142,1.753807476,1.753807476,0.066059,0.224318,0.068784,
mol_14331,-1122.001086571353,65,2.43894,377.5853800000005,-154.12248549,-152.487824545,-31.777683269,-10.933716815999999,III_benzimid,Butyl,DMBz,Butyl,Methyl,Methyl,1.602489835,2.127721562,1.602489835,1.803016771,1.803016771,0.071859,0.326032,0.071755,
mol_14332,-1200.593150568840,71,2.11960,405.63854000000055,-154.162018557,-152.960338822,-32.926652247999996,-11.238058681000002,III_benzimid,Butyl,DMBz,Butyl,Ethyl,Ethyl,1.602489835,2.127721562,1.602489835,1.711067804,1.711067804,0.068689,0.317252,0.068674,
mol_14338,-1514.923729570931,95,5.95648,517.8511800000005,-153.93862535300002,-150.67997111600002,-31.343447041,-12.328041814,III_benzimid,Butyl,DMBz,Butyl,DMB,DMB,1.602489835,2.127721562,1.602489835,1.753807476,1.753807476,0.069328,0.33062,0.074148,
mol_14339,-1505.327560021976,79,7.77095,501.72414000000043,-154.32517089700002,-147.23871176,-37.296624924,-24.063087623,III_benzimid,Butyl,DMBz,Butyl,phen,phen,1.602489835,2.127721562,1.602489835,3.620874142,3.620874142,0.054627,0.287798,0.060416,
mol_14340,-1583.916869871929,85,8.86911,529.7772999999995,-153.69138680700001,-149.979671072,-37.341178063,-18.880490792,III_benzimid,Butyl,DMBz,Butyl,tolu,tolu,1.602489835,2.127721562,1.602489835,3.798133026,3.798133026,0.063767,0.294758,0.05776,
mol_14343,-1741.100679825090,97,11.13772,585.8836199999977,-146.92370224200002,-144.077948927,-36.030939271,-16.914505095,III_benzimid,Butyl,DMBz,Butyl,TMP,TMP,1.602489835,2.127721562,1.602489835,7.628118434,7.628118434,0.060651,0.299481,0.059986,
mol_14346,-1741.102154154769,97,7.51823,585.8836199999977,-150.880146487,-150.457205421,-32.072612499,-11.103144246000001,III_benzimid,Butyl,DMBz,Butyl,DMBz,DMBz,1.602489835,2.127721562,1.602489835,2.127721562,2.127721562,0.070753,0.325506,0.073115,
mol_14347,-1819.700317837906,103,8.47132,613.9367799999976,-146.66203098900002,-144.69290774700002,-31.787095904,-11.084946485,III_benzimid,Butyl,DMBz,Butyl,TMBz,TMBz,1.602489835,2.127721562,1.602489835,2.232277195,2.232277195,0.072113,0.326148,0.073968,
mol_14350,-1043.408217787195,59,3.42534,349.53222000000045,-156.32190453500002,-154.278107722,-35.917987651,-11.435096507,III_benzimid,Isobutyl,DMBz,Isobutyl,Hydro,Hydro,3.276026296,2.127721562,3.276026296,0,0,0.066961,0.315187,0.067336,
mol_14353,-1279.180716410136,77,4.05391,433.69170000000065,-153.97376585700002,-152.449546496,-33.748061529000005,-11.268179113,III_benzimid,Isobutyl,DMBz,Isobutyl,Propyl,Propyl,3.276026296,2.127721562,3.276026296,1.649728751,1.649728751,0.072112,0.325506,0.071827,
mol_14354,-1357.762488374804,83,4.10305,461.7448600000007,-154.088600004,-152.54116281,-33.368418584000004,-12.05444789,III_benzimid,Isobutyl,DMBz,Isobutyl,Butyl,Butyl,3.276026296,2.127721562,3.276026296,1.602489835,1.602489835,0.070981,0.328016,0.069239,
mol_14355,-1357.762174213472,83,4.46193,461.74486000000064,-153.720252221,-151.15750546499999,-33.043996431,-10.710323612,III_benzimid,Isobutyl,DMBz,Isobutyl,Isobutyl,Isobutyl,3.276026296,2.127721562,3.276026296,3.276026296,3.276026296,0.070193,0.332291,0.075526,
mol_14358,-1514.924500773518,95,6.51706,517.8511800000005,-153.941762898,-149.857306817,-32.60536764,-11.930828617,III_benzimid,Isobutyl,DMBz,Isobutyl,DMB,DMB,3.276026296,2.127721562,3.276026296,1.753807476,1.753807476,0.074033,0.334563,0.071526,
mol_14359,-1505.328728022284,79,7.89010,501.72414000000043,-154.19778657,-147.209218837,-38.097953917000005,-24.370567033000004,III_benzimid,Isobutyl,DMBz,Isobutyl,phen,phen,3.276026296,2.127721562,3.276026296,3.620874142,3.620874142,0.060325,0.29331,0.059167,
mol_14362,-1819.671768182528,103,11.16845,613.9367799999976,-149.381027486,-147.123250104,-36.87870393,-16.99921881,III_benzimid,Isobutyl,DMBz,Isobutyl,DEP,DEP,3.276026296,2.127721562,3.276026296,10.28464853,10.28464853,0.055353,0.284568,0.05915,
mol_14365,-1583.913206303921,85,7.09534,529.7772999999995,-153.025599758,-152.253763688,-36.403679617,-14.717596086,III_benzimid,Isobutyl,DMBz,Isobutyl,Bz,Bz,3.276026296,2.127721562,3.276026296,1.541420611,1.541420611,0.060746,0.30225,0.061287,
mol_14367,-1819.692224243101,103,11.63941,613.9367799999976,-145.961103436,-143.59664952400001,-33.111139894000004,-10.973877392,III_benzimid,Isobutyl,DMBz,Isobutyl,TMBz,TMBz,3.276026296,2.127721562,3.276026296,2.232277195,2.232277195,0.074132,0.324793,0.071434,
mol_14368,-1963.304461763957,95,7.04548,621.828059999998,-139.460737705,-138.58222510500002,-33.467565006,-17.658730769,III_benzimid,Isobutyl,DMBz,Isobutyl,DMOB,DMOB,3.276026296,2.127721562,3.276026296,6.042753333,6.042753333,0.068197,0.321604,0.066646,
mol_14380,-1583.904143198038,85,8.84258,529.7772999999995,-153.204439823,-149.51029434,-37.676895378,-19.044898149999998,III_benzimid,Sec-Butyl,DMBz,Sec-Butyl,tolu,tolu,2.129855094,2.127721562,2.129855094,3.798133026,3.798133026,0.066139,0.308088,0.063599,
mol_14385,-1583.901529406673,85,6.31857,529.7772999999995,-153.683856699,-153.279740903,-34.819846901,-12.067625579000001,III_benzimid,Sec-Butyl,DMBz,Sec-Butyl,Bz,Bz,2.129855094,2.127721562,2.129855094,1.541420611,1.541420611,0.08614,0.354917,0.08472,
mol_14387,-1819.690853960541,103,8.89191,613.9367799999976,-146.224029707,-144.244238812,-31.611393384,-10.931834289,III_benzimid,Sec-Butyl,DMBz,Sec-Butyl,TMBz,TMBz,2.129855094,2.127721562,2.129855094,2.232277195,2.232277195,0.075132,0.323827,0.073594,
mol_14390,-1043.364959680728,59,4.67895,349.53222000000045,-154.349016239,-153.564629989,-38.899282910000004,-10.614942244,III_benzimid,t-Butyl,DMBz,t-Butyl,Hydro,Hydro,4.972259776,2.127721562,4.972259776,0,0,0.089641,0.375214,0.090299,
mol_14395,-1357.724721879101,83,5.98882,461.74486000000064,-153.22765765600002,-150.794177754,-37.853225407000004,-10.143055476,III_benzimid,t-Butyl,DMBz,t-Butyl,Isobutyl,Isobutyl,4.972259776,2.127721562,4.972259776,3.276026296,3.276026296,0.093413,0.381836,0.095729,
mol_14397,-1357.683442951236,83,5.54461,461.74486000000064,-153.19314466100002,-152.086846294,-35.659453943,-9.440872904999999,III_benzimid,t-Butyl,DMBz,t-Butyl,t-Butyl,t-Butyl,4.972259776,2.127721562,4.972259776,4.972259776,4.972259776,0.095371,0.384351,0.097944,
mol_14399,-1505.289188296385,79,7.11016,501.72414000000043,-153.41402782900002,-147.017828592,-38.892380311000004,-24.626590705,III_benzimid,t-Butyl,DMBz,t-Butyl,phen,phen,4.972259776,2.127721562,4.972259776,3.620874142,3.620874142,0.062608,0.297544,0.062522,
mol_144,-855.326674252770,58,4.97412,293.5104800000006,-189.35335078600002,-155.26580688800001,-11.068631251,4.17293485,I_imid,t-Butyl,Hydro,t-Butyl,Butyl,Butyl,4.972259776,0,4.972259776,1.602489835,1.602489835,0.163107,0.485903,0.16014,
mol_14403,-1741.060288431218,97,12.08416,585.8836199999977,-147.356055943,-144.745618503,-40.449857649,-16.122588737,III_benzimid,t-Butyl,DMBz,t-Butyl,TMP,TMP,4.972259776,2.127721562,4.972259776,7.628118434,7.628118434,0.088346,0.370271,0.08716,
mol_14404,-1662.462353295475,91,10.73537,557.830459999998,-153.36570963600002,-150.13152825,-39.349834372000004,-17.636767954,III_benzimid,t-Butyl,DMBz,t-Butyl,EP,EP,4.972259776,2.127721562,4.972259776,3.874770761,3.874770761,0.072514,0.335976,0.079471,
mol_14406,-1741.061991515997,97,8.58574,585.8836199999977,-150.774097466,-150.414534809,-36.839798372000004,-9.902719529,III_benzimid,t-Butyl,DMBz,t-Butyl,DMBz,DMBz,4.972259776,2.127721562,4.972259776,2.127721562,2.127721562,0.097131,0.384563,0.097429,
mol_14407,-1819.658810063979,103,9.48974,613.9367799999976,-146.782512717,-144.726793233,-36.948984938,-10.444259795999999,III_benzimid,t-Butyl,DMBz,t-Butyl,TMBz,TMBz,4.972259776,2.127721562,4.972259776,2.232277195,2.232277195,0.101478,0.391276,0.100083,
mol_14408,-1963.265356681085,95,8.26977,621.828059999998,-139.27562255,-138.952455415,-39.973578317999994,-15.751103408999999,III_benzimid,t-Butyl,DMBz,t-Butyl,DMOB,DMOB,4.972259776,2.127721562,4.972259776,6.042753333,6.042753333,0.093791,0.382868,0.095971,
mol_14410,-1200.567054686518,71,3.50827,405.63854000000055,-155.72765351200002,-154.057852063,-35.619293367000004,-10.368958716,III_benzimid,DMB,DMBz,DMB,Hydro,Hydro,1.753807476,2.127721562,1.753807476,0,0,0.071229,0.33366,0.07176,
mol_14421,-1819.654417854726,103,8.92613,613.9367799999976,-150.33233113,-148.22954847100002,-40.464917865000004,-18.506495428,III_benzimid,DMB,DMBz,DMB,DMP,DMP,1.753807476,2.127721562,1.753807476,8.431506296,8.431506296,0.074682,0.340284,0.073076,
mol_14423,-1898.267920024881,109,10.10319,641.9899399999975,-147.060499204,-144.65274717100002,-37.280937199,-15.034488131000002,III_benzimid,DMB,DMBz,DMB,TMP,TMP,1.753807476,2.127721562,1.753807476,7.628118434,7.628118434,0.066909,0.314344,0.067919,
mol_14426,-1898.263999500979,109,9.03248,641.9899399999975,-150.172943844,-149.212227565,-33.927529103,-11.814739452000001,III_benzimid,DMB,DMBz,DMB,DMBz,DMBz,1.753807476,2.127721562,1.753807476,2.127721562,2.127721562,0.074468,0.335716,0.078691,
mol_14427,-1976.860062500467,115,10.68174,670.0430999999975,-146.39910471800002,-143.359451122,-33.948864409,-11.457059322000001,III_benzimid,DMB,DMBz,DMB,TMBz,TMBz,1.753807476,2.127721562,1.753807476,2.232277195,2.232277195,0.080611,0.341174,0.077775,
mol_14428,-2120.464050676186,107,5.90774,677.9343799999978,-139.254914753,-138.911039821,-35.368917276,-17.909734369000002,III_benzimid,DMB,DMBz,DMB,DMOB,DMOB,1.753807476,2.127721562,1.753807476,6.042753333,6.042753333,0.076134,0.338041,0.075422,
mol_14430,-1190.954538502911,55,3.93473,389.51150000000024,-154.854788493,-153.578435187,-38.178902578,-24.088815492,III_benzimid,phen,DMBz,phen,Hydro,Hydro,3.620874142,2.127721562,3.620874142,0,0,0.076188,0.349669,0.075139,
mol_14431,-1269.551046748972,61,3.52916,417.5646600000003,-153.563374971,-153.270955777,-34.734505677,-23.141276902,III_benzimid,phen,DMBz,phen,Methyl,Methyl,3.620874142,2.127721562,3.620874142,1.803016771,1.803016771,0.082417,0.359683,0.079793,
mol_14432,-1348.138552967743,67,2.69081,445.61782000000034,-153.730292365,-153.29731115500002,-36.108750387,-23.407340718,III_benzimid,phen,DMBz,phen,Ethyl,Ethyl,3.620874142,2.127721562,3.620874142,1.711067804,1.711067804,0.079313,0.351764,0.077592,
mol_1444,-1955.319708054491,83,1.80326,595.7046599999984,-140.912793531,-137.334737213,-25.96004733,-20.242812831000002,I_imid,phen,Propyl,phen,TMOB,TMOB,3.620874142,1.649728751,3.620874142,6.045928531,6.045928531,0.06837,0.245233,0.069876,
mol_14443,-1888.649918163513,93,10.06440,625.8628999999981,-147.692400767,-145.407012989,-39.915219981,-24.772800302,III_benzimid,phen,DMBz,phen,TMP,TMP,3.620874142,2.127721562,3.620874142,7.628118434,7.628118434,0.07281,0.337774,0.071642,
mol_14449,-2339.847970823856,99,6.60420,721.8592999999985,-134.311398851,-130.0198648,-37.618537041,-23.202772784,III_benzimid,phen,DMBz,phen,TMOB,TMOB,3.620874142,2.127721562,3.620874142,6.045928531,6.045928531,0.080176,0.355534,0.081716,
mol_14450,-1269.548952669350,61,3.97324,417.5646600000003,-154.434357463,-153.441010716,-38.655181909,-22.432819241,III_benzimid,tolu,DMBz,tolu,Hydro,Hydro,3.798133026,2.127721562,3.798133026,0,0,0.076312,0.350562,0.072915,
mol_14453,-1505.321245784944,79,2.50933,501.7241400000005,-153.53890212000002,-153.315508916,-36.197229156,-22.642407246999998,III_benzimid,tolu,DMBz,tolu,Propyl,Propyl,3.798133026,2.127721562,3.798133026,1.649728751,1.649728751,0.076569,0.354678,0.079438,
mol_14457,-1583.868621681459,85,3.51560,529.7772999999995,-153.383279888,-153.236442782,-35.703379573,-22.553300969000002,III_benzimid,tolu,DMBz,tolu,t-Butyl,t-Butyl,3.798133026,2.127721562,3.798133026,4.972259776,4.972259776,0.088015,0.372479,0.084862,
mol_14459,-1731.471267545720,81,6.53828,569.7565799999983,-153.52446941300002,-147.175333351,-40.292352890000004,-26.565593515,III_benzimid,tolu,DMBz,tolu,phen,phen,3.798133026,2.127721562,3.798133026,3.620874142,3.620874142,0.066816,0.325068,0.066986,
mol_14460,-1810.060540049514,87,7.24623,597.8097399999982,-153.521331868,-149.945785586,-40.00997384,-24.213062274000002,III_benzimid,tolu,DMBz,tolu,tolu,tolu,3.798133026,2.127721562,3.798133026,3.798133026,3.798133026,0.06232,0.327021,0.072219,
mol_14463,-1967.245125841894,99,9.59852,653.9160599999981,-148.08459389200002,-146.19390927499998,-39.405055164000004,-23.518409810999998,III_benzimid,tolu,DMBz,tolu,TMP,TMP,3.798133026,2.127721562,3.798133026,7.628118434,7.628118434,0.071897,0.336022,0.071047,
mol_14466,-1967.239453974580,99,8.62960,653.9160599999981,-150.345508819,-149.087353274,-36.485883296000004,-21.832920636999997,III_benzimid,tolu,DMBz,tolu,DMBz,DMBz,3.798133026,2.127721562,3.798133026,2.127721562,2.127721562,0.082987,0.355153,0.07515,
mol_14468,-2189.449953906376,97,5.28773,689.8604999999984,-139.716133868,-139.192791362,-37.845695299,-22.592206527000002,III_benzimid,tolu,DMBz,tolu,DMOB,DMOB,3.798133026,2.127721562,3.798133026,6.042753333,6.042753333,0.07423,0.348678,0.077618,
mol_14471,-1426.737568958221,73,3.59395,473.6709800000004,-153.5514523,-152.320907151,-36.368539113000004,-19.968591398,III_benzimid,DMP,DMBz,DMP,Methyl,Methyl,8.431506296,2.127721562,8.431506296,1.803016771,1.803016771,0.084043,0.36153,0.081155,
mol_14472,-1505.324592328064,79,2.61692,501.72414000000043,-154.785134994,-151.928086517,-37.467307372,-20.700266892000002,III_benzimid,DMP,DMBz,DMP,Ethyl,Ethyl,8.431506296,2.127721562,8.431506296,1.711067804,1.711067804,0.082631,0.359926,0.078264,
mol_14473,-1583.912935853144,85,2.69008,529.7772999999995,-153.791160738,-152.12073178,-37.554531123,-20.221477524999997,III_benzimid,DMP,DMBz,DMP,Propyl,Propyl,8.431506296,2.127721562,8.431506296,1.649728751,1.649728751,0.078681,0.356331,0.080233,
mol_14477,-1662.458805389159,91,2.65190,557.830459999998,-154.00325878,-152.435741298,-36.799637796,-20.266030664,III_benzimid,DMP,DMBz,DMP,t-Butyl,t-Butyl,8.431506296,2.127721562,8.431506296,4.972259776,4.972259776,0.08686,0.371439,0.083771,
mol_14478,-1819.671271058019,103,4.49863,613.9367799999976,-153.15612163,-151.773719303,-37.083899373,-20.163119188,III_benzimid,DMP,DMBz,DMP,DMB,DMB,8.431506296,2.127721562,8.431506296,1.753807476,1.753807476,0.08094,0.355946,0.076765,
